date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-09-26 00:00:00+00:00,289.88,292.24,289.41,290.91,79739674,279.8455086731,282.1238148704,279.3917782016,280.8398541744,79739674,0.0,1.0
2018-09-27 00:00:00+00:00,290.69,291.91,290.1,290.41,59249455,280.6274696984,281.8052381563,280.0578931491,280.3571621835,59249455,0.0,1.0
2018-09-28 00:00:00+00:00,290.72,291.28,289.95,289.99,70091385,280.6564312179,281.1970462477,279.9130855518,279.9517009111,70091385,0.0,1.0
2018-10-01 00:00:00+00:00,291.73,292.93,290.98,292.11,62078937,281.6314690396,282.7899298179,280.9074310532,281.9983149527,62078937,0.0,1.0
2018-10-02 00:00:00+00:00,291.56,292.36,291.14,291.56,47258227,281.4673537627,282.2396609482,281.0618924903,281.4673537627,47258227,0.0,1.0
2018-10-03 00:00:00+00:00,291.72,293.21,291.32,292.74,64694594,281.6218151998,283.0602373328,281.235661607,282.6065068613,64694594,0.0,1.0
2018-10-04 00:00:00+00:00,289.44,291.24,287.66,291.18,111545910,279.420739721,281.1584308885,277.7023562333,281.1005078495,111545910,0.0,1.0
2018-10-05 00:00:00+00:00,287.82,290.27,286.22,289.69,105951698,277.8568176704,280.222008426,276.3122032993,279.6620857165,105951698,0.0,1.0
2018-10-08 00:00:00+00:00,287.82,288.22,285.5,287.05,87742172,277.8568176704,278.2429712631,275.6171268324,277.1134720043,87742172,0.0,1.0
2018-10-09 00:00:00+00:00,287.4,288.86,286.77,287.39,74338982,277.451356398,278.8608170115,276.8431644894,277.4417025581,74338982,0.0,1.0
2018-10-10 00:00:00+00:00,278.3,286.91,277.88,286.83,214731042,268.6663621627,276.9783182468,268.2609008903,276.9010875283,214731042,0.0,1.0
2018-10-11 00:00:00+00:00,272.17,278.9,270.36,277.08,274840491,262.7485583536,269.2455925518,261.0012133464,267.4885937048,274840491,0.0,1.0
2018-10-12 00:00:00+00:00,275.95,277.09,272.37,276.77,183186492,266.3977098052,267.4982475446,262.94163515,267.1893246704,183186492,0.0,1.0
2018-10-15 00:00:00+00:00,274.4,277.04,274.3,275.55,102263717,264.9013646333,267.4499783455,264.8048262351,266.0115562124,102263717,0.0,1.0
2018-10-16 00:00:00+00:00,280.4,280.82,276.07,276.6,118255834,270.6936685247,271.0991297971,266.513555883,267.0252093934,118255834,0.0,1.0
2018-10-17 00:00:00+00:00,280.45,281.15,277.56,280.44,110625987,270.7419377238,271.4177065111,267.9519780161,270.7322838839,110625987,0.0,1.0
2018-10-18 00:00:00+00:00,276.4,280.07,274.97,279.4,134557525,266.8321325971,270.3750918106,265.4516335029,269.7282845428,134557525,0.0,1.0
2018-10-19 00:00:00+00:00,276.25,279.3,275.47,277.13,139901634,266.6873249998,269.6317461446,265.9343254939,267.5368629039,139901634,0.0,1.0
2018-10-22 00:00:00+00:00,275.01,277.36,274.41,277.0,82415812,265.4902488622,267.7589012197,264.9110184731,267.4113629862,82415812,0.0,1.0
2018-10-23 00:00:00+00:00,273.61,274.87,268.61,270.95,146352719,264.1387112876,265.3550951048,259.3117913781,261.5707898957,146352719,0.0,1.0
2018-10-24 00:00:00+00:00,265.32,273.76,264.7,273.33,177806697,256.1356780776,264.2835188849,255.5371400088,263.8684037726,177806697,0.0,1.0
2018-10-25 00:00:00+00:00,270.08,271.81,266.23,267.38,138061545,260.7309058315,262.4010201201,257.0141775011,258.1243690803,138061545,0.0,1.0
2018-10-26 00:00:00+00:00,265.33,271.0,262.29,265.92,201574596,256.1453319174,261.6190590948,253.2105646125,256.7149084668,201574596,0.0,1.0
2018-10-29 00:00:00+00:00,263.86,270.25,259.85,268.8,160749101,254.726217464,260.8950211084,250.8550276966,259.4952143346,160749101,0.0,1.0
2018-10-30 00:00:00+00:00,267.77,268.12,263.12,263.67,157115995,258.5008688333,258.8387532269,254.0118333174,254.5427945075,157115995,0.0,1.0
2018-10-31 00:00:00+00:00,270.63,273.23,270.12,270.65,128296325,261.2618670215,263.7718653744,260.7695211907,261.2811747011,128296325,0.0,1.0
2018-11-01 00:00:00+00:00,273.51,273.73,270.38,271.6,99495037,264.0421728894,264.2545573654,261.020521026,262.1982894839,99495037,0.0,1.0
2018-11-02 00:00:00+00:00,271.89,275.23,269.59,274.75,122634107,262.4782508387,265.7026333382,260.2578676803,265.2392490269,122634107,0.0,1.0
2018-11-05 00:00:00+00:00,273.39,274.01,271.35,272.44,65622482,263.9263268115,264.5248648803,261.9569434885,263.0092120287,65622482,0.0,1.0
